title,price,engine,transmission,drivetrain,mileage,location
Used 2016 DODGE DURANGO R/T,"$34,991 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"12,234 miles","LittleFalls,NJ(50mi)"
Used 2014 BMW X5 XDRIVE50I,"$34,991 ",Engine8 Cyl,TransmissionAutomatic,DrivetrainAWD,"32,206 miles","Morristown,NJ(23mi)"
Certified 2014 HONDA CR-V LX,"$41,556 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"19,407 miles","WestCaldwell,NJ(16mi)"
Used 2016 MAZDA CX-3 GRAND TOURING,"$41,556 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,50 miles,"Wayne,NJ(17mi)"
Used 2013 HONDA CR-V EXL,"$17,913 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"60,701 miles","Parsippany,NJ(23mi)"
Used 2015 JEEP GRAND CHEROKEE LIMITED EDITION,"$17,913 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"17,726 miles","LittleFalls,NJ(50mi)"
Used 2014 NISSAN MURANO SL,"$24,900 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"33,345 miles","Bloomfield,NJ(9mi)"
Used 2015 JEEP WRANGLER UNLIMITED SPORT,"$24,900 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"47,312 miles","Bath,PA(71mi)"
Used 2008 HONDA CR-V EX,"$13,996 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"133,951 miles","Parsippany,NJ(18mi)"
Used 2010 JEEP WRANGLER SPORT,"$13,996 ",Engine6 Cyl,TransmissionManual,Drivetrain4WD,"78,649 miles","Springfield,NJ(15mi)"
Used 2017 NISSAN ROGUE SV,"$35,991 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"11,535 miles","Edison,NJ(25mi)"
Used 2014 TOYOTA HIGHLANDER LE,"$35,991 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"20,600 miles","Parsippany,NJ(18mi)"
Used 2012 MERCEDES-BENZ GL-CLASS GL 350 4MATIC,"$23,680 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"78,742 miles","Linden,NJ(14mi)"
Used 2015 DODGE DURANGO LIMITED,"$23,680 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"21,997 miles","LittleFalls,NJ(50mi)"
Used 2014 INFINITI QX60,"$29,900 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"28,212 miles","Wall,NJ(37mi)"
Used 2016 MINI COOPER COUNTRYMAN,"$21,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainFWD,"21,863 miles","Morristown,NJ(23mi)"
Used 2014 BMW X3 XDRIVE28I,"$21,995 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"38,810 miles","Edison,NJ(25mi)"
Used 2015 LEXUS NX 200T,"$26,780 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"25,427 miles","Englewood,NJ(11mi)"
Used 2014 FORD ESCAPE SE,"$26,780 ",Engine4 Cyl,TransmissionAutomatic,Drivetrain4WD,"36,590 miles","Bloomfield,NJ(9mi)"
Used 2016 NISSAN ROGUE SV,"$32,998 ",Engine4 Cyl,TransmissionAutomatic,DrivetrainAWD,"7,122 miles","Wall,NJ(37mi)"
Certified 2016 ACURA MDX,"$32,998 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"23,339 miles","Wayne,NJ(14mi)"
Certified 2015 HONDA PILOT EXL,"$14,980 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"34,844 miles","Edison,NJ(25mi)"
Certified 2015 HONDA PILOT EXL,"$14,980 ",Engine6 Cyl,TransmissionAutomatic,Drivetrain4WD,"33,581 miles","WestCaldwell,NJ(16mi)"
Certified 2016 HYUNDAI SANTA FE LIMITED EDITION,"$18,995 ",Engine6 Cyl,TransmissionAutomatic,DrivetrainAWD,"37,340 miles","Bloomfield,NJ(9mi)"
